#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
44	10236940	1	46	304794179	29.773954	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2796900	2096710	2126035	3217295	0		
45	10224884	1	46	305316117	29.860106	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	1791850	2665207	2439908	3327919	0		
46	10213748	1	46	306018363	29.961417	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2143186	2806516	2143916	3120130	0		
47	10200309	1	46	302700605	29.675631	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2399808	2231767	2528198	3040536	0		
48	10181832	1	46	301931710	29.653967	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2216127	2161518	3377264	2426923	0		
49	10167647	1	46	301101040	29.613640	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2686994	2224309	3097911	2158433	0		
50	10152428	1	46	298744081	29.425875	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2748450	2470788	2629060	2304130	0		
51	10134907	1	46	300659545	29.665743	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2157103	2951456	2602382	2423966	0		
52	10112719	1	46	299387932	29.605088	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2981992	2472340	2280126	2378261	0		
53	10088181	1	46	297584732	29.498354	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2107388	2245514	3202997	2532282	0		
54	10063576	1	46	295132129	29.326765	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2185701	2599758	2475133	2802984	0		
55	10035927	1	46	295788758	29.472988	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2662057	2432702	2479046	2462122	0		
56	10008856	1	46	293433658	29.317402	25.000000	31.000000	34.000000	9.000000	12	46	1,3,4,5,6,7,8,9,10,11	2093114	2589541	2455354	2870847	0		
57	9973953	1	46	292646300	29.341055	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	1858941	2592562	2509740	3012710	0		
58	9931144	1	46	293971229	29.600943	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2631897	2071841	2691372	2536034	0		
59	9899071	1	46	289260324	29.220957	25.000000	31.000000	34.000000	9.000000	12	46	1,3,4,5,6,7,8,9,10,11	2182702	2088861	2920956	2706552	0		
60	9871856	1	46	281094547	28.474336	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	3409086	1817581	2555445	2089744	0		
61	9850208	1	46	286071071	29.042135	25.000000	31.000000	34.000000	9.000000	12	46	1,3,4,5,6,7,8,9,10,11	2982393	1829439	2634040	2404336	0		
62	9829999	1	46	289291479	29.429452	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2899516	2537854	2068139	2324490	0		
63	9816358	1	46	283354958	28.865589	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2928587	2807668	2116340	1963763	0		
64	9804728	1	46	285516597	29.120298	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2791725	2625671	1841111	2546221	0		
65	9794284	1	46	285475832	29.147187	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2619004	3064769	2010435	2100076	0		
66	9782565	1	46	285979605	29.233601	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2778307	2597213	2082039	2325006	0		
67	9769824	1	46	285932070	29.266860	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2768236	2487794	1897535	2616259	0		
68	9758518	1	46	286287172	29.337157	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	1964138	2507714	2968806	2317860	0		
69	9747472	1	46	283231161	29.056884	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2443421	2002053	2386561	2915437	0		
70	9737767	1	46	283235573	29.086296	25.000000	31.000000	34.000000	9.000000	12	46	1,3,4,5,6,7,8,9,10,11	1644411	2473474	3060444	2559438	0		
71	9727396	1	46	279774027	28.761451	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2272843	2590340	2492227	2371986	0		
72	9711457	1	46	281712071	29.008219	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2859444	2810840	1687098	2354075	0		
73	9688613	1	46	282024422	29.108854	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2449001	2132353	2079382	3027877	0		
74	9676932	1	46	281406259	29.080111	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2338832	1993755	2444955	2899390	0		
